SKU_ID,Total_Revenue,ABC_Class,XYZ_Class,CoV,Inventory_Turnover,Avg_DOI,Below_ROP_Days
SKU_38,1057641.51,A,Y,45.73483414804815,76.88561533662747,4.747311943878246,98
SKU_40,923848.62,A,Y,45.364600016796324,76.36320407343923,4.779788962875051,91
SKU_11,888870.07,A,Y,44.95827717768021,74.22917052457717,4.917204347301025,94
SKU_48,846494.22,A,Y,45.501576189571765,73.93540713673337,4.936741598311384,94
SKU_31,827241.09,A,Y,43.943725798414505,78.28696044555001,4.662334543616163,93
SKU_22,794945.99,A,Y,45.82548108537397,79.8737893293816,4.569709325982042,99
SKU_46,789467.78,A,Y,46.302442530313,77.52150820838501,4.708370727499858,95
SKU_37,772557.65,A,Y,45.57905762572172,78.69417633444883,4.638208530816265,101
SKU_4,770679.65,A,Y,45.34864713965729,77.32364599386085,4.720418900435442,96
SKU_20,760349.9,A,Y,45.3507722333589,77.28621308203869,4.722705194684018,103
SKU_2,746765.46,A,Y,45.54206466823652,78.2245715857875,4.666053039353638,95
SKU_17,731422.16,A,Y,45.203593679832125,73.81620191481925,4.9447139046952655,98
SKU_10,725581.39,A,Y,45.22949397325207,78.72658328001323,4.636299262496569,100
SKU_8,722617.88,A,Y,46.087257404564944,76.36785319604725,4.779497978854958,98
SKU_13,720991.9400000001,A,Y,45.60250740336891,77.84127330216276,4.6890291553062085,93
SKU_15,719249.73,A,Y,45.3645380905205,78.15191709265818,4.670390869199665,95
SKU_23,712132.9,A,Y,44.12421439311241,78.63052539348537,4.641963132936674,97
SKU_6,698517.0,A,Y,44.228505446053,83.06138465348428,4.394340420915303,96
SKU_29,695975.25,A,Y,46.70744932868229,80.30696658946816,4.545060229530172,92
SKU_39,682971.1,A,Y,44.20041065717065,74.45992348709868,4.90196582142932,98
SKU_32,673421.18,A,Y,45.0568749014144,76.65263179903776,4.761741266195924,96
SKU_33,673070.84,A,Y,44.259652631070395,77.19491539259671,4.728290693029309,95
SKU_19,672297.63,A,Y,44.796851708158094,77.40502806910028,4.715455947825,93
SKU_16,671339.8,A,Y,45.69627356041116,70.44329528910102,5.181472537620948,93
SKU_3,668701.09,A,Y,45.65559670604335,82.0007201928259,4.451180418192635,98
SKU_27,665868.13,A,Y,45.95226075479722,75.60101259530805,4.8279776615406425,92
SKU_43,646114.5499999999,A,Y,45.08638134691216,73.46884746971055,4.968092090330949,94
SKU_18,644766.53,A,Y,45.61150576971053,80.34877303563195,4.542695379282704,94
SKU_35,643114.31,A,Y,44.74509817715409,82.78634507724298,4.408939658580655,96
SKU_21,636619.6,A,Y,46.24791032446925,76.48591003085686,4.772120771691771,96
SKU_50,634011.0,A,Y,44.76359854370257,91.68563257377794,3.980994510849783,99
SKU_26,623326.54,B,Y,46.273438639229326,72.32671458785576,5.046544725277573,96
SKU_30,617739.29,B,Y,44.33520830091528,84.55622057186622,4.316654617856037,93
SKU_1,617298.4,B,Y,44.09153530593284,70.56748011195396,5.172354169667593,92
SKU_36,604862.63,B,Y,45.6738958279255,80.22726428407242,4.549575549623518,97
SKU_7,602905.85,B,Y,46.36626477374465,76.91710099758703,4.745368653603448,95
SKU_9,593421.66,B,Y,44.68251952373259,74.63046513215855,4.890764104895283,97
SKU_5,590291.53,B,Y,44.77962789208293,81.5933498005172,4.473403787102344,98
SKU_12,582012.28,B,Y,45.47896545970646,77.95846616347947,4.681980264139527,97
SKU_24,577503.45,B,Y,44.5729111351339,75.35536006371464,4.843716488002769,95
SKU_28,577000.84,B,Y,46.02148954694208,74.33813788701534,4.909996542484752,97
SKU_45,576849.88,B,Y,44.416034026013335,85.0470827718624,4.2917403878403135,97
SKU_49,553957.45,B,Y,44.95861946880298,78.23031352749206,4.665710560801089,97
SKU_42,544829.43,C,Y,45.26968767852255,77.76889758576064,4.693393005828476,97
SKU_47,538811.71,C,Y,44.11766543651986,71.58576504492541,5.098779062721971,90
SKU_41,525021.08,C,Y,45.38031723087695,71.98728997784167,5.070339501769691,93
SKU_25,504606.79,C,Y,44.35343177427916,78.31475552988852,4.660679810980183,92
SKU_14,494097.5,C,Y,45.67854408021474,84.2424354766664,4.3327332351531815,105
SKU_34,453535.21,C,Y,45.16574474005231,82.63000051629031,4.41728183128888,93
SKU_44,430619.75,C,Y,45.47476528972613,84.94933449607663,4.296678745810039,94
