SKU_ID,Below_ROP_Days,Avg_Lead_Time,Avg_Inventory,Reorder_Point,Supplier
SKU_14,105,8.857142857142858,272.54285714285714,265,SUP_2
SKU_20,103,5.116504854368932,291.4466019417476,295,SUP_6
SKU_37,101,7.138613861386139,286.5049504950495,342,SUP_4
SKU_10,100,10.15,279.33,361,SUP_10
SKU_50,99,9.05050505050505,226.06060606060606,245,SUP_4
SKU_22,99,6.03030303030303,280.2323232323232,282,SUP_1
SKU_3,98,10.612244897959183,260.88775510204084,240,SUP_8
SKU_8,98,7.73469387755102,290.3265306122449,305,SUP_2
SKU_5,98,8.275510204081632,282.42857142857144,338,SUP_7
SKU_17,98,7.73469387755102,316.0,268,SUP_1
SKU_38,98,11.061224489795919,291.6020408163265,208,SUP_4
SKU_39,98,7.418367346938775,319.96938775510205,390,SUP_6
SKU_23,97,8.536082474226804,278.9381443298969,239,SUP_9
SKU_28,97,7.639175257731959,293.82474226804123,208,SUP_2
SKU_36,97,11.412371134020619,281.92783505154637,270,SUP_5
SKU_9,97,10.556701030927835,310.7938144329897,254,SUP_3
SKU_45,97,5.989690721649485,258.55670103092785,256,SUP_7
SKU_49,97,8.082474226804123,263.10309278350513,220,SUP_3
SKU_12,97,6.845360824742268,287.7113402061856,299,SUP_5
SKU_42,97,8.43298969072165,306.02061855670104,204,SUP_3
SKU_4,96,10.15625,286.375,298,SUP_10
SKU_6,96,9.34375,274.5625,350,SUP_9
SKU_35,96,6.65625,254.73958333333334,212,SUP_2
SKU_32,96,5.052083333333333,278.5833333333333,291,SUP_6
SKU_26,96,7.65625,296.6354166666667,335,SUP_7
SKU_21,96,8.791666666666666,300.1041666666667,245,SUP_8
SKU_46,95,8.210526315789474,288.4421052631579,381,SUP_5
SKU_33,95,7.71578947368421,293.29473684210524,321,SUP_9
SKU_7,95,4.663157894736842,307.85263157894735,386,SUP_5
SKU_15,95,9.652631578947368,285.2526315789474,327,SUP_6
SKU_24,95,7.684210526315789,279.0315789473684,288,SUP_2
SKU_2,95,10.010526315789473,285.7368421052632,228,SUP_7
SKU_43,94,10.382978723404255,313.1914893617021,331,SUP_2
SKU_11,94,5.297872340425532,308.17021276595744,286,SUP_3
SKU_18,94,8.297872340425531,288.90425531914894,346,SUP_2
SKU_48,94,9.053191489361701,298.1063829787234,325,SUP_8
SKU_44,94,7.468085106382978,241.93617021276594,252,SUP_2
SKU_13,93,10.13978494623656,294.9139784946237,246,SUP_9
SKU_16,93,7.225806451612903,338.76344086021504,328,SUP_9
SKU_31,93,5.89247311827957,273.68817204301075,259,SUP_4
SKU_19,93,6.21505376344086,292.6666666666667,287,SUP_8
SKU_30,93,5.548387096774194,259.38709677419354,336,SUP_3
SKU_41,93,11.43010752688172,333.5698924731183,370,SUP_3
SKU_34,93,5.666666666666667,260.505376344086,299,SUP_3
SKU_25,92,6.173913043478261,285.89130434782606,314,SUP_10
SKU_27,92,4.945652173913044,297.8478260869565,389,SUP_6
SKU_29,92,9.673913043478262,267.30434782608694,218,SUP_5
SKU_1,92,8.282608695652174,332.5,379,SUP_8
SKU_40,91,7.065934065934066,282.6043956043956,260,SUP_10
SKU_47,90,8.61111111111111,324.0888888888889,230,SUP_5
