SKU_ID,Total_Units_Sold,Total_Revenue,Total_COGS,Avg_Inventory,Avg_Inventory_Value,Below_ROP_Days,Avg_Lead_Time,Promo_Days,Avg_Unit_Cost,Avg_Unit_Price,Avg_Forecast_Acc,Total_Days,Gross_Profit,Margin_Pct,Inventory_Turnover,Avg_DOI,Cumulative_Rev_Pct,ABC_Class,CoV,XYZ_Class
SKU_38,36739,1057641.51,689010.54,477.36328767123285,8961.501276712328,98,11.2,173,18.754,28.794,84.34561824538602,1825,368630.97,34.85405655078723,76.88561533662747,4.747311943878246,3.164096332299253,A,45.73483414804815,Y
SKU_40,36443,923848.62,569391.76,472.6345205479452,7456.362876712329,91,7.2,167,15.632,25.364,83.32055119856166,1825,354456.86,38.36741781353746,76.36320407343923,4.779788962875051,5.927930771949533,A,45.364600016796324,Y
SKU_11,36358,888870.07,555711.23,500.0646575342466,7486.426509589041,94,5.2,191,15.287999999999998,24.456,83.73956244476824,1825,333158.83999999997,37.481163023072654,74.22917052457717,4.917204347301025,8.587121529673839,A,44.95827717768021,Y
SKU_48,36597,846494.22,555626.4,484.0071232876712,7515.024553424658,94,8.8,177,15.186,23.144000000000002,84.24515664965746,1825,290867.81999999995,34.361465575039595,73.93540713673337,4.936741598311384,11.119538451183015,A,45.501576189571765,Y
SKU_31,36742,827241.09,544470.53,465.2427397260274,6954.804821917809,93,5.8,183,14.81,22.514000000000003,84.54336029605726,1825,282770.55999999994,34.18236393455745,78.28696044555001,4.662334543616163,13.594356689733653,A,43.943725798414505,Y
SKU_22,36646,794945.99,533312.2,457.3687671232877,6676.936257534247,99,6.0,208,14.537999999999998,21.633999999999997,82.5566960116311,1825,261633.79000000004,32.912146647849625,79.8737893293816,4.569709325982042,15.972559197438743,A,45.82548108537397,Y
SKU_46,36270,789467.78,528585.12,466.3945205479452,6818.560838356165,95,8.4,190,14.554000000000002,21.762,82.83953234048133,1825,260882.66000000003,33.04538406874566,77.52150820838501,4.708370727499858,18.33437280209429,A,46.302442530313,Y
SKU_37,36730,772557.65,492837.95,465.0558904109589,6262.699134246575,101,7.2,179,13.446,21.072,84.28692964641338,1825,279719.7,36.20696785540859,78.69417633444883,4.638208530816265,20.64559716662848,A,45.57905762572172,Y
SKU_4,36811,770679.65,505250.37,470.57315068493153,6534.228482191781,96,10.2,163,13.716000000000001,20.923999999999996,83.55973848511674,1825,265429.28,34.44093534842915,77.32364599386085,4.720418900435442,22.951203206942342,A,45.34864713965729,Y
SKU_20,36735,760349.9,467603.61000000004,470.4613698630137,6050.284926027397,103,5.0,195,12.744,20.722,84.15812889837768,1825,292746.29,38.50152278575955,77.28621308203869,4.722705194684018,25.22590622030469,A,45.3507722333589,Y
SKU_2,36490,746765.46,464065.61,471.3150684931507,5932.478767123288,95,10.2,187,12.722000000000001,20.464000000000002,83.85743363742588,1825,282699.85,37.85657815507428,78.2245715857875,4.666053039353638,27.459969303809956,A,45.54206466823652,Y
SKU_17,36449,731422.16,471393.79,490.63671232876715,6386.047747945206,98,7.8,180,12.946,20.082,82.67168920897696,1825,260028.37000000005,35.55106533824461,73.81620191481925,4.9447139046952655,29.648130558769015,A,45.203593679832125,Y
SKU_10,36579,725581.39,503829.52,459.17808219178085,6399.738169863013,100,10.2,199,13.774,19.842000000000002,83.25204705414208,1825,221751.87,30.561956667604168,78.72658328001323,4.636299262496569,31.818818256988802,A,45.22949397325207,Y
SKU_8,36702,722617.88,482877.27,471.2082191780822,6323.043660273973,98,7.8,193,13.126000000000001,19.63,83.76969182847711,1825,239740.61,33.176678384985436,76.36785319604725,4.779497978854958,33.98064016180593,A,46.087257404564944,Y
SKU_13,36915,720991.9400000001,533348.54,485.8482191780822,6851.744805479452,93,10.2,175,14.398,19.477999999999998,83.77229738693777,1825,187643.40000000002,26.025727832685618,77.84127330216276,4.6890291553062085,36.13759781844264,A,45.60250740336891,Y
SKU_15,36397,719249.73,462147.44,467.25479452054793,5913.449819178082,95,9.4,165,12.661999999999999,19.695999999999998,83.80019449217292,1825,257102.28999999998,35.74590010621206,78.15191709265818,4.670390869199665,38.28934338741169,A,45.3645380905205,Y
